Watchlist 'nyse4'

nyse4
Symbol,Last,Price / Earnings Ratio - Current,Market Cap
DPW,3.98,-.32001,74 M
DPZ,398.72,33.96,"15,710 M"
DQ,64.79,50.598,"4,502 M"
DRD,11.49,24.197,983 M
DRE,39.41,67.014,"14,659 M"
DRH,8.11,-29.733,"1,618 M"
DRI,119.64,-116.87,"15,577 M"
DRQ,30.68,-88.307,"1,077 M"
DS,2.82,-2.5028,190 M
DSL,16.30,-14.08,"1,662 M"
DSM,7.61,-59.229,376 M
DSS,6.43,15.988,38 M
DSU,10.17,<empty>,476 M
DSX,1.83,<empty>,163 M
DT,44.51,110.67,"12,556 M"
DTE,118.92,17.261,"23,018 M"
DUK,89.53,33.032,"65,890 M"
DUO,7.70,-2.6486,615 M
DVA,115.18,18.043,"12,895 M"
DVD,1.99,5.8162,72 M
DVN,14.83,-1.8498,"5,673 M"
DX,17.62,2.3898,408 M
DXC,22.69,-1.5305,"5,773 M"
DXF,1.32,3.8635,28 M
DY,71.90,80.07,"2,295 M"
DYN,21.60,-32.771,982 M
E,20.24,-3.2784,"35,865 M"
EA,139.43,31.514,"40,414 M"
EAD,8.04,-11.074,487 M
EAF,8.60,4.932,"2,298 M"
EAR,57.94,-129.46,"2,213 M"
EAT,58.09,115.31,"2,631 M"
EB,18.32,-7.4031,"1,679 M"
EBC,16.40,30.278,"3,063 M"
EBF,16.35,16.528,427 M
EBR,6.92,7.131,"10,857 M"
EBS,95.77,30.857,"5,076 M"
EC,13.01,20.38,"26,746 M"
ECC,10.17,<empty>,322 M
ECL,215.21,57.687,"61,431 M"
ED,69.65,17.595,"23,327 M"
EDD,6.26,-13.907,414 M
EDF,8.17,-4.4349,135 M
EDU,170.00,71.216,"28,711 M"
EEX,5.05,-.55974,361 M
EFC,14.94,-21.266,654 M
EFL,8.75,<empty>,207 M
EFR,12.87,<empty>,474 M
EFT,13.24,<empty>,510 M
EFX,194.03,54.175,"23,602 M"
EGO,12.41,<empty>,"2,169 M"
EGP,139.39,43.982,"5,514 M"
EGY,1.65,-2.1154,95 M
EH,26.55,-131.3,"1,453 M"
EHC,82.36,30.755,"8,189 M"
EHT,9.71,<empty>,208 M
EIG,31.05,11.475,901 M
EIM,13.315,20.447,958 M
EIX,61.32,63.046,"23,210 M"
EL,257.46,156.77,"93,099 M"
ELF,23.00,120.11,"1,174 M"
ELP,14.08,6.299,"3,853 M"
ELS,61.82,53.793,"11,265 M"
ELY,24.20,-20.163,"2,279 M"
EMD,13.72,-22.348,833 M
EME,90.04,35.984,"4,946 M"
EMN,100.97,29.973,"13,678 M"
EMO,13.99,-.46889,201 M
EMR,79.33,24.974,"47,442 M"
EMX,2.8799,<empty>,243 M
ENB,31.90,<empty>,"64,604 M"
ENG,1.84,58.259,51 M
ENR,42.92,-27.271,"2,942 M"
ENS,82.21,37.151,"3,500 M"
ENV,82.94,-677.12,"4,475 M"
ENX,12.29,<empty>,223 M
ENZ,2.34,-5.4017,112 M
EOD,4.79,<empty>,210 M
EOG,48.85,-97.786,"28,498 M"
EOI,16.16,9.5206,635 M
EOS,21.49,<empty>,"1,069 M"
EPC,35.26,29.045,"1,923 M"
EPD,20.18,10.056,"44,051 M"
EPM,2.66,-21.732,88 M
EPR,30.89,-22.249,"2,305 M"
EQ,4.84,-3.2108,120 M
EQC,26.41,7.234,"3,209 M"
EQD,10.41,<empty>,539 M
EQH,24.84,-33.639,"11,046 M"
EQR,57.85,22.656,"21,535 M"
EQS,2.00,-2.0931,27 M
EQT,13.28,-1.5642,"3,660 M"
EQX,10.10,<empty>,"2,443 M"
ERC,12.00,<empty>,361 M
ERF,2.90,<empty>,645 M
ERJ,6.34,-1.5594,"1,167 M"
ES,83.57,24.051,"28,650 M"
ESE,99.53,105.16,"2,592 M"
ESI,17.88,37.591,"4,420 M"
ESS,234.73,25.613,"15,305 M"
ET,6.46,-71.159,"17,427 M"
ETB,15.11,-80.47,402 M
ETG,17.79,<empty>,"1,357 M"
ETH,20.05,111.7,502 M
ETJ,10.46,9.8759,668 M
ETM,2.16,-.53951,298 M
ETN,116.61,34.176,"46,481 M"
ETO,25.22,<empty>,395 M
ETR,96.01,14.428,"19,224 M"
ETV,15.45,72.766,"1,412 M"
ETW,9.73,<empty>,"1,046 M"
ETY,12.36,<empty>,"1,875 M"
EV,66.81,54.552,"7,661 M"
EVA,44.95,87.811,"1,788 M"
EVC,2.70,-14.768,227 M
EVH,15.69,-2.4321,"1,346 M"
EVK,3.60,-16.173,53 M
EVM,11.77,<empty>,294 M
EVN,13.22,28.406,524 M
EVR,108.10,19.424,"4,392 M"
EVT,23.50,<empty>,"1,727 M"
EVV,12.29,-177.48,"1,427 M"
EW,88.00,68.84,"54,846 M"
EXC,41.76,17.493,"40,740 M"
EXG,8.74,<empty>,"2,647 M"
EXK,4.36,<empty>,687 M
EXP,98.84,35.513,"4,133 M"
EXR,115.19,33.448,"14,887 M"
EYE,47.72,742.99,"3,866 M"
F,8.79,-432.37,"34,970 M"
FAF,51.87,9.4252,"5,791 M"
FAM,10.49,<empty>,133 M
FAX,4.37,<empty>,"1,082 M"
FB,267.09,31.504,"760,750 M"
FBC,39.31,5.1233,"2,066 M"
FBK,34.01,28.851,"1,605 M"
FBM,19.23,18.325,831 M
FBP,8.68,22.529,"1,894 M"
FCF,10.39,14.067,999 M
FCN,110.81,22.953,"3,952 M"
FCO,7.89,<empty>,69 M
FCT,11.55,<empty>,308 M
FCX,24.25,-354.39,"35,232 M"
FDP,24.24,53.037,"1,148 M"
FDS,331.00,35.295,"12,575 M"
FDX,273.28,29.959,"72,438 M"
FE,29.95,27.127,"16,251 M"
FEI,5.82,-1.3195,274 M
FEN,10.78,<empty>,216 M
FF,12.01,4.6533,525 M
FFC,23.76,<empty>,"1,057 M"
FGB,3.06,<empty>,44 M
FHB,22.74,11.73,"2,974 M"
FHI,28.77,9.4433,"2,859 M"
FHN,12.28,6.6019,"6,813 M"
FI,2.42,-1.9708,548 M
FIF,10.54,<empty>,185 M
FIS,134.81,-549.93,"83,651 M"
FIT,6.87,-7.4176,"1,872 M"
FIV,8.92,<empty>,320 M
FIX,53.64,13.869,"1,952 M"
FL,39.24,12.275,"4,089 M"
FLL,3.71,-13.553,101 M
FLO,22.66,48.511,"4,795 M"
FLR,16.13,-5.2389,"2,270 M"
FLS,36.29,37.923,"4,727 M"
FLT,269.46,33.718,"22,473 M"
FLY,7.69,2.0556,234 M
FMC,113.67,30.36,"14,749 M"
FMO,6.03,<empty>,43 M
FMS,41.22,16.073,"24,141 M"
FMX,73.17,132.71,"26,182 M"
FN,75.99,<empty>,"2,807 M"
FNB,9.21,10.086,"2,971 M"
FND,100.78,61.646,"10,481 M"
FNF,38.42,11.24,"11,283 M"
FNV,128.17,<empty>,"24,459 M"
FOE,14.68,-178.16,"1,208 M"
FOF,12.17,<empty>,331 M
FOR,20.63,16.432,992 M
FOX,26.98,10.525,"16,063 M"
FPF,23.70,-22.531,"1,440 M"
FPH,5.17,73.415,767 M
FPI,8.38,-107.98,246 M
FPL,4.34,-1.1133,112 M
FR,41.87,24.847,"5,403 M"
FRA,12.02,9.4525,429 M
FRC,136.65,24.267,"23,532 M"
FRG,28.75,-5.3257,"1,153 M"
FRO,6.16,<empty>,"1,218 M"
FRT,86.02,37.965,"6,507 M"
FSD,14.53,<empty>,496 M
FSK,16.42,-3.6957,"2,032 M"
FSM,7.33,<empty>,"1,350 M"
FSP,4.14,-398.17,444 M
FSR,15.69,842.3,"4,350 M"
FSS,32.08,20.637,"1,942 M"
FST,10.08,<empty>,252 M
FSV,136.20,<empty>,"5,934 M"
FTF,8.91,-30.962,269 M
FTI,8.96,<empty>,"4,027 M"
FTK,2.05,-.88105,150 M
FTS,40.39,<empty>,"18,853 M"
FTV,68.46,45.585,"23,084 M"
FUL,53.15,24.02,"2,750 M"
FUN,37.13,-4.4656,"2,106 M"
FUV,15.00,-21.124,511 M
FVE,7.33,2.8505,231 M
FpB,26.36,<empty>,0
FpC,26.22,<empty>,0
G,41.80,26.54,"7,915 M"
GAB,6.30,<empty>,"1,636 M"
GAN,17.99,<empty>,534 M
GAU,1.12,<empty>,251 M
GBL,17.46,7.2862,479 M
GBR,1.68,-43.155,8.6 M
GBT,45.43,-9.531,"2,807 M"
GBX,36.53,24.579,"1,199 M"
GCI,2.43,-.45722,335 M
GCO,27.85,-3.4612,418 M
GCP,23.21,15.921,"1,696 M"
GCV,6.26,<empty>,118 M
