symbol,to_consider,could_process,Adj_Close,AS_30,AS_90,AS_180,AS_360,Hurst,ATR_20,MA_100,position_size,Volume,close_gt_ma100,ma50_gt_ma100,max_min,AS_30_vol,AS_90_vol,AS_180_vol,AS_360_vol,Q_30,Q_90,Q_180,Q_360,Mean_4Q,Mean_3Q,Mean_Q,Q_30_vol,Q_90_vol,Q_180_vol,Q_360_vol,Mean_4Q_vol,Mean_3Q_vol,Mean_Q_vol,Mean_Final_Q,Stock_Value,sp_check
ELGIRUBCO,True,False,28.75,7.59,5.48,1.72,0.0,1.38,2.34,21.16,43.0,103752.0,True,True,2.1792452830188678,487.85,11112.26,2.35,0.0,0.93,0.92,0.87,0.47,0.8,0.75,0.775,0.93,0.92,0.87,0.47,0.8,0.75,0.775,0.775,1236.25,False
BORORENEW,True,True,298.1,0.01,83.54,2.95,-0.0,0.76,15.8,166.18,6.0,552194.0,True,True,4.170715249662619,-0.1,2.68,2.38,2.45,0.55,1.0,0.93,0.47,0.74,0.8,0.77,0.55,1.0,0.93,0.47,0.74,0.8,0.77,0.77,1788.6000000000001,False
EMAMILTD,True,True,479.25,1.08,1.82,2.24,0.06,0.93,26.24,412.56,4.0,329562.0,True,True,1.4919533441606379,-0.08,7.41,-0.0,0.09,0.72,0.62,0.91,0.79,0.76,0.77,0.765,0.72,0.62,0.91,0.79,0.76,0.77,0.765,0.765,1917.0,False
DLF,True,True,311.75,5.43,6.68,1.27,0.0,0.79,15.54,211.63,6.0,16500467.0,True,True,2.0447419986936644,0.68,2.37,0.3,0.06,0.86,0.96,0.84,0.47,0.78,0.75,0.765,0.86,0.96,0.84,0.47,0.78,0.75,0.765,0.765,1870.5,True
CARBORUNIV,True,True,512.7,4.36,5.79,1.15,0.0,0.78,25.06,348.23,4.0,422868.0,True,True,2.255674518201285,3702.17,0.1,0.19,1.64,0.82,0.93,0.81,0.47,0.76,0.74,0.75,0.82,0.93,0.81,0.47,0.76,0.74,0.75,0.75,2050.8,False
DCW,True,True,20.6,0.93,2.36,1.27,0.01,0.76,1.37,17.29,73.0,593100.0,True,True,1.5827338129496402,0.61,66.74,0.06,0.88,0.7,0.68,0.84,0.71,0.73,0.74,0.735,0.7,0.68,0.84,0.71,0.73,0.74,0.735,0.735,1503.8000000000002,False
ELECON,True,True,55.95,0.02,12.84,1.04,0.0,0.89,3.36,35.74,30.0,1441388.0,True,True,2.6204545454545456,-0.0,116.27,1.16,1.6,0.57,0.98,0.79,0.47,0.7,0.74,0.72,0.57,0.98,0.79,0.47,0.7,0.74,0.72,0.72,1678.5,False
BHAGYANGR,True,False,33.85,133.27,3.88,0.64,0.0,1.01,3.19,21.13,31.0,40923.0,True,True,2.075075075075075,-0.02,979.55,0.05,0.0,0.98,0.82,0.65,0.47,0.73,0.65,0.69,0.98,0.82,0.65,0.47,0.73,0.65,0.69,0.69,1049.3500000000001,False
AUTOAXLES,True,True,1163.15,0.01,3.61,2.02,0.0,0.62,40.14,885.01,2.0,84478.0,True,True,1.778788805627772,-0.09,-0.0,0.01,0.41,0.55,0.79,0.88,0.47,0.67,0.71,0.69,0.55,0.79,0.88,0.47,0.67,0.71,0.69,0.69,2326.3,False
ADANIPORTS,True,False,616.6,2.28,3.94,0.84,0.0,0.53,24.23,436.91,4.0,24953701.0,True,True,1.7992413189378467,13.23,1.64,1.41,0.0,0.77,0.84,0.71,0.47,0.7,0.67,0.685,0.77,0.84,0.71,0.47,0.7,0.67,0.685,0.685,2466.4,True
